Estado - Sigla,Valor de Venda - Media
AC,3.014935598018401
AL,2.803212150127227
AM,2.584189826839827
AP,2.5827234416154523
BA,2.6833631229489425
CE,2.747927593706025
DF,2.603552824858757
ES,2.6581580192165557
GO,2.6145582370269658
MA,2.746630146231721
MG,2.526764492003902
MS,2.753770866681912
MT,2.959865056818182
PA,2.7148788087450506
PB,2.6184790489642187
PE,2.6540799523765912
PI,2.518938120450033
PR,2.5190955123216603
RJ,2.586786942536039
RN,2.641515037593985
RO,2.768857661822986
RR,2.842991647684131
RS,2.740919682673802
SC,2.553333025119433
SE,2.5616528724440117
SP,2.462916241087509
TO,2.7434614942528732
Total,2.58697340313121
